epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.93444,1.38092,2.9678,1.36275,0.00294,1,0.76156,0.44504,1.15411,2.98271,1.28971,0.000463459,0.000463459,0.000463459
2,6.9031,1.34544,1.86499,1.3323,1,0.33191,0.88734,0.55654,1.21072,2.42809,1.22769,0.000930489,0.000930489,0.000930489
3,9.83829,1.31699,1.60449,1.28516,0.90316,0.91519,0.98573,0.60604,1.34471,1.2765,1.40368,0.00138809,0.00138809,0.00138809
4,12.759,1.29791,1.43846,1.26022,0.94435,0.99768,0.99274,0.62957,1.24894,1.34741,1.38073,0.00138656,0.00138656,0.00138656
5,15.634,1.26838,1.29987,1.23787,0.94379,0.96824,0.98232,0.64215,1.20402,1.23859,1.25382,0.00137241,0.00137241,0.00137241
6,18.5175,1.27772,1.24906,1.23844,0.96643,0.9709,0.97052,0.6202,1.25425,1.13426,1.25051,0.00135826,0.00135826,0.00135826
7,21.4177,1.25439,1.15423,1.23309,0.99516,0.99882,0.995,0.64788,1.20156,0.85871,1.21638,0.00134412,0.00134412,0.00134412
8,24.3037,1.22364,0.99636,1.19252,0.96665,0.97368,0.98689,0.64479,1.18288,0.81602,1.20005,0.00132997,0.00132997,0.00132997
9,27.1901,1.2438,0.96955,1.23848,0.98559,0.97825,0.98963,0.62694,1.24597,0.71061,1.2192,0.00131582,0.00131582,0.00131582
10,30.0484,1.24755,0.92127,1.22168,0.98633,0.98915,0.98981,0.67239,1.19363,0.71042,1.1944,0.00130168,0.00130168,0.00130168
11,32.9339,1.21106,0.86379,1.22395,0.98722,0.99595,0.9947,0.63925,1.25447,0.63733,1.24415,0.00128753,0.00128753,0.00128753
12,35.7948,1.1964,0.78462,1.17648,0.98872,0.95896,0.98901,0.67058,1.12681,0.66258,1.14753,0.00127338,0.00127338,0.00127338
13,38.6569,1.15623,0.80142,1.1812,0.98512,0.9899,0.99409,0.68715,1.16748,0.55874,1.17398,0.00125923,0.00125923,0.00125923
14,41.5273,1.18345,0.76603,1.1871,0.98722,0.99813,0.99455,0.6721,1.19356,0.5152,1.19497,0.00124509,0.00124509,0.00124509
15,44.4028,1.16323,0.73171,1.16891,0.98139,0.94781,0.98555,0.6722,1.12212,0.58853,1.14736,0.00123094,0.00123094,0.00123094
16,47.2665,1.16411,0.7204,1.16941,0.99712,1,0.995,0.65683,1.12785,0.50832,1.13059,0.00121679,0.00121679,0.00121679
17,50.1226,1.15177,0.70287,1.16518,0.98092,0.96703,0.99244,0.68546,1.123,0.62841,1.13763,0.00120265,0.00120265,0.00120265
18,52.9726,1.14131,0.69305,1.16078,0.9823,0.99142,0.99453,0.66381,1.14753,0.55627,1.14611,0.0011885,0.0011885,0.0011885
19,55.8447,1.15129,0.68381,1.17677,0.96124,0.99319,0.99345,0.68817,1.11654,0.53976,1.10733,0.00117435,0.00117435,0.00117435
20,58.7014,1.10295,0.646,1.12851,0.99444,0.99812,0.995,0.69183,1.12294,0.48304,1.14735,0.00116021,0.00116021,0.00116021
21,61.5615,1.09599,0.64368,1.135,0.99204,0.98428,0.9947,0.67775,1.13327,0.47368,1.14338,0.00114606,0.00114606,0.00114606
22,64.4079,1.08638,0.62071,1.13177,0.99723,1,0.995,0.69908,1.0634,0.45715,1.10229,0.00113191,0.00113191,0.00113191
23,67.2807,1.10779,0.6173,1.14143,0.99806,1,0.995,0.705,1.07288,0.45498,1.08887,0.00111776,0.00111776,0.00111776
24,70.1791,1.08738,0.59038,1.12159,0.96434,0.97456,0.98871,0.67062,1.12276,0.58655,1.14759,0.00110362,0.00110362,0.00110362
25,73.0397,1.08845,0.59472,1.13205,0.98479,1,0.995,0.70119,1.05529,0.45994,1.09744,0.00108947,0.00108947,0.00108947
26,75.9103,1.0762,0.61337,1.12603,0.98036,0.98067,0.98897,0.66816,1.15738,0.51711,1.15913,0.00107532,0.00107532,0.00107532
27,78.7938,1.06044,0.57973,1.12653,0.94945,0.99288,0.99408,0.69127,1.0921,0.51589,1.11085,0.00106118,0.00106118,0.00106118
28,81.6526,1.07162,0.58507,1.13313,0.99475,0.99931,0.995,0.68422,1.15614,0.45786,1.13961,0.00104703,0.00104703,0.00104703
29,84.5126,1.1145,0.59108,1.12403,0.99637,0.98958,0.99467,0.7122,1.09738,0.47034,1.11185,0.00103288,0.00103288,0.00103288
30,87.3856,1.07991,0.5812,1.12665,0.99455,0.99922,0.995,0.71189,1.0699,0.43134,1.09935,0.00101873,0.00101873,0.00101873
31,90.2655,1.07751,0.58805,1.12973,0.99831,0.9997,0.995,0.72025,1.03663,0.44238,1.08461,0.00100459,0.00100459,0.00100459
32,93.1289,1.04008,0.55351,1.10936,0.99513,0.9917,0.995,0.70679,1.06832,0.43524,1.1108,0.00099044,0.00099044,0.00099044
33,95.9941,1.08041,0.55423,1.12654,0.99638,1,0.995,0.70302,1.09787,0.41786,1.1157,0.000976293,0.000976293,0.000976293
34,98.851,1.07336,0.55335,1.12455,0.97756,0.98692,0.9925,0.68325,1.10817,0.48132,1.11386,0.000962146,0.000962146,0.000962146
35,101.73,1.03592,0.5636,1.11609,0.99709,1,0.995,0.69823,1.07561,0.41828,1.10486,0.000947999,0.000947999,0.000947999
36,104.634,1.02773,0.54704,1.09524,0.99816,1,0.995,0.70195,1.08129,0.42136,1.09586,0.000933851,0.000933851,0.000933851
37,107.491,1.03799,0.54445,1.10206,0.9979,1,0.995,0.6978,1.12479,0.42763,1.13125,0.000919704,0.000919704,0.000919704
38,110.357,1.02561,0.54739,1.09828,0.99715,1,0.995,0.72044,1.05446,0.41266,1.07876,0.000905557,0.000905557,0.000905557
39,113.243,1.02343,0.53927,1.1127,0.99703,1,0.995,0.71505,1.04291,0.40153,1.08298,0.00089141,0.00089141,0.00089141
40,116.111,1.01452,0.54127,1.10412,0.98444,0.98352,0.99288,0.69613,1.07536,0.45843,1.09918,0.000877263,0.000877263,0.000877263
41,118.975,1.01465,0.52226,1.08597,0.98969,1,0.995,0.70928,1.06058,0.41565,1.10486,0.000863116,0.000863116,0.000863116
42,121.851,0.99111,0.52379,1.07896,0.99823,1,0.995,0.73058,1.04758,0.39318,1.08228,0.000848969,0.000848969,0.000848969
43,124.741,0.97541,0.50256,1.07699,0.99739,1,0.995,0.72186,1.0582,0.38778,1.10182,0.000834822,0.000834822,0.000834822
44,127.653,1.03959,0.52538,1.11236,0.99705,0.99891,0.995,0.71266,1.11284,0.41188,1.13411,0.000820675,0.000820675,0.000820675
45,130.513,1.0405,0.51021,1.10823,0.99722,1,0.995,0.71407,1.08193,0.38894,1.11511,0.000806528,0.000806528,0.000806528
46,133.383,1.01069,0.52209,1.10918,0.99754,1,0.995,0.69912,1.09072,0.40342,1.12246,0.00079238,0.00079238,0.00079238
47,136.269,0.98387,0.49975,1.07603,0.99646,1,0.995,0.71185,1.06788,0.39685,1.10689,0.000778233,0.000778233,0.000778233
48,139.144,1.02451,0.51099,1.10525,0.99701,1,0.995,0.69708,1.11691,0.41272,1.14675,0.000764086,0.000764086,0.000764086
49,142.004,0.98109,0.49512,1.1115,0.99651,1,0.995,0.71075,1.05852,0.406,1.10103,0.000749939,0.000749939,0.000749939
50,144.926,0.98174,0.4913,1.07642,0.99567,1,0.995,0.72626,1.04003,0.38975,1.08728,0.000735792,0.000735792,0.000735792
51,147.825,0.96778,0.50177,1.06724,0.99329,1,0.995,0.72473,1.03953,0.39725,1.09726,0.000721645,0.000721645,0.000721645
52,150.699,0.96464,0.47939,1.063,0.99735,1,0.995,0.71421,1.05737,0.39044,1.08713,0.000707498,0.000707498,0.000707498
53,153.561,0.98602,0.48618,1.0943,0.99721,1,0.995,0.73555,1.04875,0.37344,1.08157,0.000693351,0.000693351,0.000693351
54,156.443,0.95901,0.49657,1.07274,0.99464,1,0.995,0.72692,1.04542,0.39536,1.08095,0.000679204,0.000679204,0.000679204
55,159.337,0.97705,0.4824,1.06659,0.996,0.9928,0.995,0.72581,1.04773,0.38522,1.09231,0.000665057,0.000665057,0.000665057
56,162.205,0.97041,0.4985,1.08309,0.99708,0.99832,0.995,0.71355,1.06954,0.38594,1.11664,0.000650909,0.000650909,0.000650909
57,165.078,0.95502,0.47375,1.07195,0.99712,1,0.995,0.71348,1.07891,0.39192,1.09977,0.000636762,0.000636762,0.000636762
58,167.956,0.91917,0.46897,1.06807,0.99713,1,0.995,0.71996,1.07267,0.39384,1.08516,0.000622615,0.000622615,0.000622615
59,170.84,0.94387,0.47654,1.07152,0.9973,1,0.995,0.71786,1.11262,0.38617,1.1157,0.000608468,0.000608468,0.000608468
60,173.712,0.92745,0.45842,1.05036,0.99806,1,0.995,0.71451,1.08353,0.39076,1.09706,0.000594321,0.000594321,0.000594321
61,176.58,0.89496,0.44257,1.02862,0.989,1,0.99459,0.71818,1.07049,0.39658,1.10302,0.000580174,0.000580174,0.000580174
62,179.45,0.90146,0.45457,1.05207,0.99763,1,0.995,0.7268,1.07124,0.38118,1.10492,0.000566027,0.000566027,0.000566027
63,182.376,0.93551,0.46128,1.05979,0.99541,1,0.995,0.72756,1.07664,0.38322,1.10435,0.00055188,0.00055188,0.00055188
64,185.237,0.93766,0.45274,1.0616,0.99649,1,0.995,0.71231,1.06138,0.37357,1.10084,0.000537733,0.000537733,0.000537733
65,188.1,0.90316,0.44473,1.04506,0.99743,1,0.995,0.72615,1.05992,0.36987,1.09627,0.000523586,0.000523586,0.000523586
66,190.97,0.89331,0.44024,1.0522,0.99765,0.99972,0.995,0.72488,1.03897,0.37641,1.08264,0.000509438,0.000509438,0.000509438
67,193.859,0.87137,0.43089,1.03137,0.99772,1,0.995,0.72758,1.05568,0.36389,1.09304,0.000495291,0.000495291,0.000495291
